T1ACCDOITUIDsCREDITOR_BP,CGLACCT,TGLACCT,CPROJECT,TPROJECT,KCAMTCOMP,CACCPSTDAT,__metadata
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,0.000000,/Date(1778025600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-06-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,140.000000,/Date(1778112000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-07-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,105.000000,/Date(1778198400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-08-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,140.000000,/Date(1778457600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-11-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,105.000000,/Date(1778544000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-12-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,0.000000,/Date(1778630400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-13-2026%7CCPROJECT%3DDIR1%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,105.000000,/Date(1778716800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCACCPSTDAT%3D05-14-2026%7CCPROJECT%3DDIR1%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,0.000000,/Date(1778803200000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-15-2026%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,105.000000,/Date(1779062400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR1%7CCACCPSTDAT%3D05-18-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,105.000000,/Date(1779148800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-19-2026%7CCPROJECT%3DDIR1%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,0.000000,/Date(1779235200000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-20-2026%7CCPROJECT%3DDIR1%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,165.000000,/Date(1779321600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-21-2026%7CCPROJECT%3DDIR1%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR1,Manufacturing and Production,0.000000,/Date(1779408000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-22-2026%7CCPROJECT%3DDIR1%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
CC Microsoft Store,440130,COGS: Subcontractors,DIR2,Service and Support,2689.090000,/Date(1779148800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D440130%7CCPROJECT%3DDIR2%7CCACCPSTDAT%3D05-19-2026%7CC1ACCDOITUIDsCREDITOR_BP%3D1001549%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR2,Service and Support,595.000000,/Date(1777593600000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR2%7CCACCPSTDAT%3D05-01-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR2,Service and Support,225.000000,/Date(1777680000000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-02-2026%7CCPROJECT%3DDIR2%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR2,Service and Support,220.000000,/Date(1777766400000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR2%7CCACCPSTDAT%3D05-03-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR2,Service and Support,535.000000,/Date(1777852800000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCACCPSTDAT%3D05-04-2026%7CCPROJECT%3DDIR2%7CCGLACCT%3D518520%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
Not Assigned,518520,Direct Labor,DIR2,Service and Support,740.000000,/Date(1777939200000)/,"{'uri': ""https://my438923.businessbydesign.cloud.sap/sap/byd/odata/ana_businessanalytics_analytics.svc/RPFINCACU02_Q0001QueryResults('%7CCGLACCT%3D518520%7CCPROJECT%3DDIR2%7CCACCPSTDAT%3D05-05-2026%7C')"", 'type': 'sapbyd.RPFINCACU02_Q0001QueryResult'}"
